epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1089.21,0.43113,0.25862,0.86895,0.9998,0.99571,0.995,0.93599,0.38496,0.19434,0.84934,0.0005843,0.0005843,0.0005843
145,1097.15,0.41586,0.24403,0.86576,0.99508,0.99571,0.995,0.93733,0.37648,0.19451,0.8475,0.0005744,0.0005744,0.0005744
146,1105.62,0.41477,0.24518,0.8721,0.99573,0.99997,0.995,0.9389,0.37856,0.19013,0.84501,0.0005645,0.0005645,0.0005645
147,1113.4,0.40677,0.2439,0.86696,0.99559,1,0.995,0.94559,0.36698,0.19158,0.84259,0.0005546,0.0005546,0.0005546
148,1120.96,0.39959,0.23828,0.85703,0.99573,0.99982,0.995,0.94143,0.37006,0.19095,0.84416,0.0005447,0.0005447,0.0005447
149,1128.4,0.39625,0.23382,0.87065,0.99874,1,0.995,0.94351,0.36863,0.18739,0.83668,0.0005348,0.0005348,0.0005348
150,1136.21,0.40627,0.24649,0.87106,1,0.99964,0.995,0.94033,0.37316,0.19225,0.83867,0.0005249,0.0005249,0.0005249
151,1143.73,0.39912,0.23998,0.86398,0.99976,0.99571,0.995,0.93929,0.37483,0.18913,0.84866,0.000515,0.000515,0.000515
152,1150.58,0.3926,0.23742,0.86105,0.99966,0.99571,0.995,0.93599,0.36421,0.18547,0.83876,0.0005051,0.0005051,0.0005051
153,1157.65,0.40144,0.23843,0.86757,0.99958,0.99571,0.995,0.93852,0.37072,0.19345,0.83662,0.0004952,0.0004952,0.0004952
154,1165.3,0.40158,0.23216,0.86197,0.99962,0.99571,0.995,0.94178,0.36693,0.19325,0.84232,0.0004853,0.0004853,0.0004853
155,1173.16,0.40332,0.24143,0.87427,0.99967,0.99571,0.995,0.93956,0.36458,0.18896,0.84104,0.0004754,0.0004754,0.0004754
156,1180.75,0.40153,0.24126,0.86855,0.99964,0.99571,0.995,0.93912,0.36867,0.18091,0.83436,0.0004655,0.0004655,0.0004655
157,1188.18,0.38805,0.22821,0.85945,0.99967,0.99571,0.995,0.94764,0.36392,0.18205,0.83257,0.0004556,0.0004556,0.0004556
158,1195.98,0.38029,0.23087,0.85453,0.99974,0.99571,0.995,0.9462,0.3608,0.1792,0.84046,0.0004457,0.0004457,0.0004457
159,1203.61,0.39615,0.2388,0.86442,0.9998,0.99571,0.995,0.94049,0.36613,0.18231,0.84364,0.0004358,0.0004358,0.0004358
160,1210.93,0.40071,0.24013,0.86541,0.99979,0.99571,0.995,0.94388,0.36468,0.18238,0.84326,0.0004259,0.0004259,0.0004259
161,1218.48,0.4021,0.23635,0.87611,1,0.99532,0.995,0.93712,0.36993,0.18612,0.8407,0.000416,0.000416,0.000416
162,1225.98,0.40207,0.23292,0.86664,1,0.99553,0.995,0.93721,0.37347,0.18549,0.84785,0.0004061,0.0004061,0.0004061
163,1233.41,0.39867,0.23607,0.87328,1,0.99561,0.995,0.9391,0.36465,0.18136,0.8427,0.0003962,0.0003962,0.0003962
164,1240.91,0.38329,0.22911,0.86116,0.99983,0.99571,0.995,0.94271,0.36606,0.18036,0.83996,0.0003863,0.0003863,0.0003863
165,1248.37,0.38443,0.23271,0.86132,0.99976,0.99571,0.995,0.94105,0.3551,0.18219,0.83014,0.0003764,0.0003764,0.0003764
166,1255.87,0.37126,0.2245,0.85597,0.99973,0.99571,0.995,0.94606,0.35933,0.17701,0.83696,0.0003665,0.0003665,0.0003665
167,1263.29,0.37567,0.21984,0.85723,0.99971,0.99571,0.995,0.94116,0.35266,0.17618,0.83637,0.0003566,0.0003566,0.0003566
168,1271,0.37123,0.22157,0.85352,0.99973,0.99571,0.995,0.94817,0.35387,0.17966,0.84461,0.0003467,0.0003467,0.0003467
169,1278.44,0.36883,0.22019,0.84907,0.9997,0.99571,0.995,0.94425,0.35509,0.17485,0.83999,0.0003368,0.0003368,0.0003368
170,1286.2,0.37686,0.22161,0.85359,0.99974,0.99571,0.995,0.94361,0.35371,0.17812,0.83738,0.0003269,0.0003269,0.0003269
171,1293.94,0.36533,0.21756,0.85534,0.99979,0.99571,0.995,0.94586,0.3553,0.17746,0.83474,0.000317,0.000317,0.000317
172,1301.81,0.36254,0.2172,0.85357,0.99979,0.99571,0.995,0.94358,0.3499,0.17745,0.83646,0.0003071,0.0003071,0.0003071
173,1309.63,0.36146,0.21375,0.85213,0.99978,0.99571,0.995,0.94883,0.34603,0.17278,0.83197,0.0002972,0.0002972,0.0002972
174,1317.29,0.36973,0.2167,0.85043,0.99974,0.99571,0.995,0.94456,0.3514,0.17208,0.83596,0.0002873,0.0002873,0.0002873
175,1324.44,0.36369,0.21654,0.85144,0.99572,0.99963,0.995,0.94422,0.3503,0.17479,0.83141,0.0002774,0.0002774,0.0002774
176,1332.02,0.35905,0.21896,0.86311,0.9997,0.99571,0.995,0.94518,0.3479,0.17368,0.83358,0.0002675,0.0002675,0.0002675
177,1339.86,0.36248,0.21944,0.85397,0.99978,0.99571,0.995,0.95201,0.34549,0.17131,0.83318,0.0002576,0.0002576,0.0002576
178,1347.43,0.35557,0.21221,0.85238,0.99982,0.99571,0.995,0.95059,0.34655,0.17262,0.83321,0.0002477,0.0002477,0.0002477
179,1355.2,0.34674,0.21255,0.84874,0.99976,0.99571,0.995,0.94398,0.3473,0.17295,0.82947,0.0002378,0.0002378,0.0002378
180,1362.87,0.35974,0.21579,0.8563,0.99977,0.99571,0.995,0.94759,0.34409,0.17444,0.82767,0.0002279,0.0002279,0.0002279
181,1370.48,0.36526,0.21806,0.85577,0.99976,0.99571,0.995,0.94855,0.3422,0.16935,0.82979,0.000218,0.000218,0.000218
182,1378.05,0.35723,0.21948,0.85095,0.99976,0.99571,0.995,0.94332,0.34528,0.17185,0.83198,0.0002081,0.0002081,0.0002081
183,1385.8,0.35854,0.21309,0.85751,0.99978,0.99571,0.995,0.94866,0.3354,0.17153,0.82413,0.0001982,0.0001982,0.0001982
184,1393.8,0.34869,0.20546,0.85659,0.99978,0.99571,0.995,0.94746,0.33617,0.16788,0.82757,0.0001883,0.0001883,0.0001883
185,1402.02,0.342,0.20795,0.84053,0.99978,0.99571,0.995,0.95034,0.33132,0.16647,0.82693,0.0001784,0.0001784,0.0001784
186,1409.85,0.34843,0.21049,0.84738,0.99978,0.99571,0.995,0.95606,0.33126,0.1661,0.82695,0.0001685,0.0001685,0.0001685
